,Review
0,"c*****x2022-08-12 21:42 | Variation: Black,2XLMaterial is sufficiently thick. Fits my mum tum  so well! Recommend to size up 0:04 helpful?Report Abusemaricelbayle2022-04-08 21:53 | Variation: Pink,LI Love the color and the material ..i recommended this shop..shipping very fast  too ..my second order this item 0:16 helpful?Report Abusep*****h2022-05-13 02:05 | Variation: Black,2XLDelivery is long. Items are alright. Gonna try more stretching to see if it can last. 0:04 helpful?Report Abuses*****s2022-06-29 20:51 | Variation: Dark Blue,2XLAppearance: niceQuality: goodRepeat order  but a bit disappointed with the size inconsistent.  This order the size seems to be much smaller even though its stated 2XL. Material is good 0:08 1Report Abuses*****s2022-06-15 20:41 | Variation: Black,2XLAppearance: GoodPerformance: GoodQuality: Good1st time buying from this shop. Delivery super fast. Quality is good . Size is true. Material is comfortable.  Highly recommended 0:11 helpful?Report Abuse_ux2bx7ea92022-10-06 17:14 | Variation: Black,2XLAppearance: solid blackPerformance: goodQuality: stretchableDelivery is fast. Fit comfortably. Can't wait to wear it to gym 😀 0:07  helpful?Report Abuse12345..."
1,"j*****62022-10-02 10:35 | Variation: Dark Blue,2XLPerformance: 👍Quality: 👍Recommended. Good deal 0:11 helpful?Report Abuse76ypf9kfgv2022-07-26 12:00 | Variation: Dark Blue,LAppearance: gd packingQuality: very good i like it 0:14 helpful?Report Abusewendalpy2022-10-14 09:12 | Variation: Purple,XLMaterial is cooling and size fits just nicely.  Used this for hiking.  Am satisfied with the price and quality.  Will reorder. 0:17 helpful?Report Abuseg*****h2022-06-11 22:11 | Variation: Dark Blue,2XLOrder received in good condition. Haven’t try the item but the feel of it is good. Hope it can last! 0:05 helpful?Report Abused*****_2022-09-08 14:51 | Variation: Black,2XLDelivery was super fast! Great quality feels nice and thick. The pants is not very stretchy but I guess it helps to keep it up when doing exercise. If you want a comfortable fit can size up! 0:06 helpful?Report Abusec*****52022-06-29 19:17 | Variation: Pink,SReceived within few days. Looks good. For my chubby kid. 32size just nice for s size. 0:13  helpful?Report Abuse123456..."
2,"g*****s2022-06-08 13:27 | Variation: Black,XLPrompt delivery. Very comfortable. Length is just nice but a little too big. Think can try L next time. 0:09 helpful?Report Abusempyeng2022-04-23 14:55 | Variation: Black,MItem fast received. The quality of the pants is good. Will order again.  helpful?Report Abuserahzainal2022-07-26 18:23 | Variation: Dark Blue,MAppearance: not the same colour like in photos but it’s still a nice colourPerformance: satisfactoryQuality: goodi’m usually an S-M i would suggest sizing up as the size runs small here :-) hope it helps  helpful?Report Abusejoceseow2022-07-07 11:08 | Variation: Dark Blue,M1st time getting from seller. delivery is super fast. not sure if size is correct.. material feels comfortable. helpful?Report Abusesofiashasim2022-07-07 20:46 | Variation: Black,LComfortable and the right size, fast delivery and also in good condition 0:07  helpful?Report Abuses*****j2022-06-11 10:33 | Variation: Black,2XLitem received in good condition. i like the it’s reversible style, neat edges and got confused after removing the tag. haha.
will definitely order again next time. thank you. helpful?Report Abuse123456..."
3,"mangophilip2022-10-02 10:56 | Variation: Pink,MAppearance: looks goodPerformance: good to wearQuality: cimfortgood to wear but not long not short got stuck at calf area becomes uncomfortable 1Report Abuses*****62022-09-12 22:00 | Variation: Grey,XLAppearance: nice colourQuality: material just niceFit well, I am 158cm at 50kg.. The size just nicely fit.. Good buy helpful?Report Abusetsun_hitsuji2022-06-15 15:20 | Variation: Dark Blue,2XLAppearance: as shownPerformance: yet to testQuality: seems okDefinitely a must buy if you're looking for a quick, affordable and trusty 3/4 yoga pants. Placed on order on Mon Night, received it on Wed afternoon. I agree with  most reviews that you should up-size once. helpful?Report Abusetittieal2022-05-04 08:44 | Variation: Black,LWell received. Thanks seller 0:06 1Report Abusefgalfgal2022-05-04 18:44 | Variation: Dark Blue,2XLReceived it fast. Love the color. Will made 2nd purchase helpful?Report Abusektssmy12022-05-24 19:51 | Variation: Black,XLItem received within a week and quality is good and seller is responsive helpful?Report Abuse1234567..."
4,"maggie_2212022-07-27 19:35 | Variation: Dark Blue,SAppearance: goodPerformance: goodQuality: elasticThick High waist band! Good material. Will order again. Thanks seller. helpful?Report Abusenthan9532022-05-14 12:20 | Variation: Black,XLReceived the items in order. The material is soft and stretchy 👍🏻 will buy again in future helpful?Report Abuseh*****a2022-09-12 14:35 | Variation: Black,MAppearance: gdPerformance: gdQuality: gdGot the product a few day ago,it super comfy to wear at home. 0:07 helpful?Report Abusel*****22022-04-21 19:56 | Variation: Grey Blue,2XLis nice! the tights material is thick and elastic. size is right, sports bra looks small but elastic enough. Will buy again.  helpful?Report Abuseyennyfrastycha2022-05-04 12:38 | Variation: Pink,Lsize L . I love it, will buy again next time  1Report Abusehuiyan002022-06-17 19:45 | Variation: Dark Blue,SAppearance: goodPerformance: goodQuality: goodGood quality and fast delivery, haven’t try it but hope it can fit 0:04 helpful?Report Abuse12...45678..."
5,"leyna2022-05-19 13:04 | Variation: Purple,LReceive in good condition :) helpful?Report Abusecattguo2022-09-04 20:12 | Variation: Purple,LAppearance: as advertisedPerformance: works well while on the pilates stott machineQuality: stretchy and material is thickI sized up though I usually wear M. Based on the measurements and minusing about 2cm (4 stretch) gave me a great fit. Worth it for the price compared to paying 69 bucks for storebought yoga pants when all I needed were to wear them an hour 3x a week. Material is thick and less chance of camel toe.helpful?Report Abusehawpeng2022-09-10 20:01 | Variation: Black,2XLAppearance: look goodPerformance: goodQuality: goodComfy to wear. I’m 67kg. So it a bit tight for me.helpful?Report Abusec*****h2022-08-26 15:49 | Variation: Purple,2XLVery quick delivery as item was delivered within 24 hour. Am happy with the product quality and colour. Will recommend to others.helpful?Report Abusejumiah_ahmad2022-06-30 11:21 | Variation: Grey Blue,XLBought XL. Buy one size bigger because of sizing difference.helpful?Report Abusechanlaihar2022-10-11 14:25 | Variation: Grey,XLAppearance: goodPerformance: goodQuality: goodThis is my second time buying. Satisfied. Fast delivery. Thank you, will buy again when needed.helpful?Report Abuse12...56789..."
6,"leeccatshopee2022-09-14 12:54 | Variation: Black,XLAppearance: satisfactoryPerformance: satisfactoryQuality: acceptableXL is a bit too big for me 51 kg. Delivery is very quick. Ordered on  Friday and received on Monday. Overall ok for the price.helpful?Report Abusey*****n2022-08-26 22:28 | Variation: Grey Blue,MFits well! & quality is great considering the price! Pretty colour too! 
Fast delivery!helpful?Report Abusev*****y2022-08-04 14:37 | Variation: Black,LAppearance: goodPerformance: goodQuality: goodFast delivery.helpful?Report Abusenette932022-09-17 12:57 | Variation: Purple,2XLXXL can fit for 158cm 68kg. Color and quality ok for the price ($8).helpful?Report Abusetanlichoonmaureen2022-08-28 09:44 | Variation: Dark Blue,LSize correct and fitting. I’m 1.59m 60kg. Ordered L size.helpful?Report Abusee9tba6a2ye2022-06-30 21:16 | Variation: Purple,MThe yoga pant is nice and fit just like the picturehelpful?Report Abuse12...678910..."
7,"keda6judcbr42g71bsnidqmkafow2022-05-26 08:52 | Variation: Dark Blue,MAppearance: the colour is nice and quality is not thin good.Quality: 2helpful?Report Abuseethelsng1992022-02-25 07:30 | Variation: Black,2XLItem received in good condition and delivery was fast thk u😊helpful?Report Abuse48r4o7s_0_2022-10-16 18:38 | Variation: Black,2XLComfy. Good and value for moneyhelpful?Report Abuse48r4o7s_0_2022-10-16 18:38 | Variation: Dark Blue,2XLReally like them. Very comfortablehelpful?Report Abusedavedash2022-08-11 18:03 | Variation: Dark Blue,XLQuality: goodhelpful?Report Abusechanlaihar2022-10-03 11:13 | Variation: Black,XLFast delivery thank youhelpful?Report Abuse12...7891011"
8,"j*****e2022-06-10 14:54 | Variation: Black,XLFast delivery and very comfy and size accurate 👍helpful?Report Abuseflo.thy2022-07-08 14:49 | Variation: Black,2XLPerformance: GoodQuality: GoodFits well!helpful?Report Abusec*****v2022-05-27 23:11 | Variation: Grey,MAppearance: goodhelpful?Report Abuseed7oain3_u2022-05-20 14:37 | Variation: Black,XLFast delivery 👍🏻
Material is comfortablehelpful?Report Abusexaz3dphpqr2022-05-10 00:41 | Variation: Pink,MGood qualityhelpful?Report Abusekanokthadaying2022-05-04 21:37 | Variation: Dark Blue,LGoodhelpful?Report Abuse12...7891011"
9,"rosielim17112022-04-07 09:42 | Variation: Pink,LLooks small but fits well and very comfortable.helpful?Report Abusewonglipin812022-03-28 17:50 | Variation: Black,2XLFast delivery!helpful?Report Abusenandiah348122022-04-02 07:10 | Variation: Dark Blue,Mnicehelpful?Report Abuse12...7891011"
10,"rosielim17112022-04-07 09:42 | Variation: Pink,LLooks small but fits well and very comfortable.helpful?Report Abusewonglipin812022-03-28 17:50 | Variation: Black,2XLFast delivery!helpful?Report Abusenandiah348122022-04-02 07:10 | Variation: Dark Blue,Mnicehelpful?Report Abuse12...7891011"
11,"rosielim17112022-04-07 09:42 | Variation: Pink,LLooks small but fits well and very comfortable.helpful?Report Abusewonglipin812022-03-28 17:50 | Variation: Black,2XLFast delivery!helpful?Report Abusenandiah348122022-04-02 07:10 | Variation: Dark Blue,Mnicehelpful?Report Abuse12...7891011"
